,seconds_elapsed,z,y,x
1268,20.23089038085937,-3.50578928,0.256386399,-0.569519401
1269,20.24672924804688,-4.715155125,0.1919898986816406,-1.020116329
1270,20.26262891,-4.809226513,0.1016762256622314,-1.113591313
1271,20.278406494140626,-4.085347652,-0.297495127,-0.632117212
1272,20.29430615234375,-2.917899609,-0.513950229,-0.313340425
1273,20.31011426,-2.787148476,-0.388113856,0.118126631
1274,20.32592236328125,-3.266697407,-0.292552114,0.229239821
1275,20.34179150390625,-2.964622498,-0.077077389,-0.060474753
1276,20.35756909179688,-1.703016281,0.3152357339859009,-0.679394126
1277,20.37349902,-0.21262455,0.6858125925064087,-0.724287152
1278,20.389276611328125,0.323709488,1.280890941619873,-0.222282529
1279,20.405115478515626,-0.968922615,1.7482470273971558,0.012414813
1280,20.420984619140626,-1.032599449,1.9262017011642456,-0.656112432
1281,20.43673168945313,1.6325912475585938,1.738972544670105,-1.301435232
1282,20.452661865234376,5.139291763305664,0.942829728,-1.123253226
1283,20.46846997070313,7.786789894104004,0.5667393207550049,0.389889121
1284,20.48427807617188,7.627253532409668,0.5541054010391235,0.9860349893569946
1285,20.50017773,7.094950675964356,1.439114332199097,0.7496663331985474
1286,20.51614331054688,4.987547874450684,2.074380159378052,-0.551545024
1287,20.53204297,2.809539794921875,1.6320123672485352,-1.734750152
1288,20.54788184,2.1689558029174805,0.2946395874023437,-1.994898558
1289,20.56372021484375,2.922494888305664,-1.245044112,-0.9107427
1290,20.57961987304688,2.4681711196899414,-2.187906981,0.8733525276184082
1291,20.595397705078124,0.8158035278320312,-2.775203228,1.9078168869018557
1292,20.611236083984377,-0.701515198,-2.928217649,2.159294605255127
1293,20.62707470703125,-1.422023773,-2.879152775,1.7943902015686035
1294,20.64288281,-1.086169243,-2.778989553,1.137470841407776
1295,20.658813232421878,-0.643535614,-2.624217033,0.88040638
1296,20.67459082,-0.877903938,-2.394054651,0.8864485025405884
1297,20.690490478515624,-1.025958061,-1.963803768,0.4378541707992553
1298,20.70632885742188,-1.197821617,-1.512521744,0.3221831321716308
1299,20.72219799804688,-1.58449173,-0.940265059,0.1310229301452636
1300,20.73806713867188,-2.306948185,-0.518174231,-0.216830492
1301,20.753814208984377,-2.733981609,-0.314661205,-0.738609612
1302,20.769744384765627,-3.182689667,-0.178963482,-1.152672052
1303,20.78555273,-3.870942593,-0.07878226,-0.96942246
1304,20.801360595703127,-4.381896973,-0.090319991,-0.975824177
1305,20.817229736328127,-4.70165205,-0.073986411,-0.965769053
1306,20.83300732421875,-4.721264839,0.016740322,-1.103678107
1307,20.8489375,-4.070622921,0.2240192890167236,-0.712931037
1308,20.86477612304688,-2.809811115,0.4223750829696655,-0.040906012
1309,20.88061499023437,-1.543198586,0.7467852830886841,0.5573692321777344
1310,20.89648388671875,-1.403120995,0.9815044403076172,0.6876899003982544
1311,20.91229199,-0.340819359,1.174009919166565,0.8819693326950073
1312,20.928191650390627,2.6223602294921875,1.309394121170044,0.7939575910568237
1313,20.944030517578124,5.160573959350586,1.403675198554993,0.9672679901123048
1314,20.95983837890625,5.256604194641113,1.3993327617645264,1.213770866394043
1315,20.975707763671878,4.446876525878906,1.1764476299285889,0.7324814200401306
1316,20.99148510742188,4.011450768,0.8565415143966675,0.1298099160194397
1317,21.00732397460937,4.984788895,0.7541921138763428,0.1794793009757995
1318,21.023162353515627,6.302490234,0.5410498380661011,0.1319313645362854
1319,21.039031494140627,6.258170127868652,0.4238094091415405,0.1052712798118591
1320,21.054900634765627,4.201247215270996,0.1297500133514404,-0.672172308
1321,21.07067822265625,3.049405097961426,-0.546470881,-1.631669521
1322,21.0866084,2.965673446655273,-1.325646043,-1.488151073
1323,21.10238623046875,2.911126136779785,-1.907011628,-0.990570068
1324,21.11816381835937,1.897775650024414,-2.270343065,-0.852587759
1325,21.13403295898437,0.2985334396362304,-2.16116333,-0.859130561
1326,21.149871337890627,-1.416880608,-1.868338585,-1.141918421
1327,21.165740478515627,-3.114411354,-1.433172703,-1.583951116
1328,21.181548583984377,-3.361706734,-1.155554771,-2.150539398
1329,21.197356689453127,-3.083844662,-1.037443399,-2.76402998
1330,21.21322607421875,-1.734250546,-1.090228558,-2.862826347
1331,21.22900341796875,0.2714109420776367,-1.083536863,-2.133416653
1332,21.24487280273437,0.5751409530639648,-0.945334733,-1.34700799
1333,21.260650146484377,-0.819757462,-0.612569571,-0.840288401
1334,21.276458251953127,-3.18983078,-0.368738413,-0.670029521
1335,21.292327392578127,-4.472811222,-0.164823294,-1.192562819
1336,21.30813574,-5.486837387,-0.111473799,-0.614277959
1337,21.32397412109375,-6.043207169,-0.222557545,0.000127316
1338,21.339782470703124,-5.856207848,-0.264290214,0.2622954845428467
1339,21.355559814453127,-4.909255028,-0.391011834,0.154462457
1340,21.37145947265625,-3.763776302,-0.163098812,0.4751501083374023
1341,21.387359130859377,-2.868922234,0.1317931413650512,-0.003938794
1342,21.40325879,-1.618332386,0.6068007946014404,-0.23766768
1343,21.419036376953127,0.7882404327392578,0.699077845,-0.278398573
1344,21.434875244140624,3.199378967285156,0.7974048852920532,0.255844235
1345,21.45071362304688,3.526515007019043,1.0032072067260742,1.003443956375122
1346,21.46652197265625,2.645170211791992,1.4092336893081665,1.1443743705749512
1347,21.48239111328125,2.7434043884277344,1.597905158996582,-0.200924873
1348,21.498198974609377,3.2847728729248047,1.5406264066696167,-1.498752117
1349,21.514007080078127,4.126190185546875,0.9589751958847046,-1.389733911
1350,21.5299375,6.230582237243652,0.6385051012039185,-0.294221401
1351,21.54580664,7.825741767883301,0.7183928489685059,0.3348079919815063
1352,21.561675537109377,6.462464332580566,1.0836836099624634,0.2768045663833618
1353,21.57751416015625,3.117403030395508,1.2208986282348633,-0.177155256
1354,21.59329174804688,0.8697538375854492,0.8320927619934082,-1.175694466
1355,21.60916088867188,1.2527198791503906,0.082915306,-1.494626284
1356,21.62493848,2.060603141784668,-0.808408141,-1.034886122
1357,21.640838134765627,1.4541597366333008,-1.760574579,0.7760884761810303
1358,21.65661572265625,0.1500177383422851,-2.266382456,1.982157111167908
1359,21.67242383,-0.58662796,-2.596779585,2.184543371200561
