"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.534585732E1,6.501127548E1,2.550167926E1,1.918205212E1,3.664624023E1,1.330000043E0,1.198000031E2,3.103063272E-1,3.790092468E0,2.500000000E0,3.400000000E1
5.635342863E1,6.501126902E1,2.550170878E1,1.900083757E1,3.646502686E1,1.330000043E0,1.241999969E2,3.117851953E-1,3.790092468E0,2.500000000E0,3.500000000E1
5.736905914E1,6.501126072E1,2.550173338E1,1.896104269E1,3.642523193E1,1.309999943E0,1.325000000E2,3.133793719E-1,3.790092468E0,2.500000000E0,3.500000000E1
5.834492618E1,6.501125083E1,2.550175795E1,1.879368490E1,3.625787354E1,1.470000029E0,1.330000000E2,3.150344563E-1,3.790092468E0,2.500000000E0,3.500000000E1
5.934555821E1,6.501124032E1,2.550178290E1,1.800773598E1,3.547192383E1,1.419999957E0,1.331999969E2,3.166275670E-1,3.790092468E0,2.500000000E0,3.500000000E1
6.034566008E1,6.501123062E1,2.550180786E1,1.747264126E1,3.493682861E1,1.330000043E0,1.336000061E2,3.181315633E-1,3.790092468E0,2.500000000E0,3.500000000E1
6.134432638E1,6.501122257E1,2.550183359E1,1.762413035E1,3.508831787E1,1.149999976E0,1.265000000E2,3.195727343E-1,3.790092468E0,2.500000000E0,3.500000000E1
6.234290711E1,6.501121405E1,2.550185671E1,1.824498025E1,3.570916748E1,1.279999971E0,1.331999969E2,3.210929055E-1,3.790092468E0,2.500000000E0,3.500000000E1
6.334720888E1,6.501120358E1,2.550187752E1,1.829814313E1,3.576232910E1,1.370000005E0,1.438000031E2,3.226207533E-1,3.790092468E0,2.500000000E0,3.500000000E1
6.434699935E1,6.501119227E1,2.550189599E1,1.839873089E1,3.586291504E1,1.289999962E0,1.330000000E2,3.240549203E-1,3.790092468E0,2.500000000E0,3.500000000E1
6.533957003E1,6.501118083E1,2.550191009E1,1.851213659E1,3.597631836E1,1.269999981E0,1.560000000E2,3.254552997E-1,3.790092468E0,2.500000000E0,3.500000000E1
6.634628185E1,6.501116946E1,2.550192291E1,1.809258343E1,3.555676270E1,1.190000057E0,1.330000000E2,3.266479132E-1,3.790092468E0,2.500000000E0,3.500000000E1
6.733979711E1,6.501116092E1,2.550193827E1,1.815368083E1,3.561785889E1,8.399999738E-1,1.330000000E2,3.277055633E-1,3.790092468E0,2.500000000E0,3.500000000E1
6.833799539E1,6.501115589E1,2.550195738E1,1.864763789E1,3.611181641E1,9.100000262E-1,1.295000000E2,3.287896551E-1,3.790092468E0,2.500000000E0,3.500000000E1
6.933623753E1,6.501115225E1,2.550197879E1,1.833086420E1,3.579504395E1,7.500000000E-1,1.330000000E2,3.298824491E-1,3.790092468E0,2.500000000E0,3.500000000E1
7.033780706E1,6.501114938E1,2.550200104E1,1.780425128E1,3.526843262E1,8.199999928E-1,1.145999985E2,3.310081433E-1,3.790092468E0,2.500000000E0,3.400000000E1
