"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
9.198983470E1,6.503794051E1,2.555002723E1,2.343082651E1,4.090905762E1,1.110000014E0,2.371999969E2,5.192597098E-1,3.790092468E0,2.500000000E0,3.000000000E1
9.298974174E1,6.503793276E1,2.555000964E1,2.357426325E1,4.105249023E1,1.360000014E0,2.371999969E2,5.205354502E-1,3.790092468E0,2.500000000E0,2.900000000E1
9.398819174E1,6.503792372E1,2.554999290E1,2.340117200E1,4.087939453E1,1.230000019E0,2.371000061E2,5.222282265E-1,3.790092468E0,2.500000000E0,2.900000000E1
9.499214736E1,6.503791133E1,2.554997194E1,2.334600212E1,4.082421875E1,1.970000029E0,2.371000061E2,5.238685268E-1,3.924014568E0,2.500000000E0,2.900000000E1
9.598976882E1,6.503790116E1,2.554994662E1,2.294384710E1,4.042205811E1,1.190000057E0,2.371000061E2,5.254250171E-1,3.790092468E0,2.575956821E0,2.900000000E1
9.699013986E1,6.503789300E1,2.554991967E1,2.284436495E1,4.032257080E1,1.590000033E0,2.290000000E2,5.271961942E-1,3.790092468E0,2.500000000E0,2.900000000E1
9.798954845E1,6.503788395E1,2.554988861E1,2.212409490E1,3.960229492E1,1.480000019E0,2.303000031E2,5.288626513E-1,3.790092468E0,2.500000000E0,2.700000000E1
9.899374689E1,6.503787297E1,2.554986444E1,2.116413974E1,3.864233398E1,1.419999957E0,2.283999939E2,5.300736818E-1,3.790092468E0,2.619058371E0,2.500000000E1
9.998779533E1,6.503786589E1,2.554984483E1,2.107967119E1,3.855786133E1,8.000000119E-1,2.346999969E2,5.312770255E-1,3.790092468E0,2.630797148E0,2.300000000E1
1.009886686E2,6.503785959E1,2.554982398E1,2.070290515E1,3.818109131E1,1.320000052E0,2.346999969E2,5.328046405E-1,3.790092468E0,2.592321634E0,2.200000000E1
1.019896230E2,6.503785238E1,2.554979627E1,2.003707756E1,3.751525879E1,1.419999957E0,2.316999969E2,5.345500021E-1,3.790092468E0,2.500000000E0,2.100000000E1
1.029893509E2,6.503784494E1,2.554976352E1,1.975595512E1,3.723413086E1,1.600000024E0,2.370000000E2,5.363820626E-1,3.790092468E0,2.500000000E0,2.100000000E1
1.039894463E2,6.503783748E1,2.554972871E1,1.997934948E1,3.745751953E1,1.740000010E0,2.398000031E2,5.381433468E-1,3.790092468E0,2.500000000E0,2.100000000E1
1.049903816E2,6.503783006E1,2.554969555E1,2.010166945E1,3.757983398E1,1.490000010E0,2.403999939E2,5.398907150E-1,3.790092468E0,2.500000000E0,2.500000000E1
1.059906770E2,6.503782164E1,2.554966411E1,1.996800813E1,3.744616699E1,1.759999990E0,2.375000000E2,5.417348111E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.069904918E2,6.503781173E1,2.554963260E1,1.997521642E1,3.745336914E1,1.730000019E0,2.341000061E2,5.435016296E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.079920536E2,6.503780172E1,2.554960336E1,1.950952414E1,3.698767090E1,1.679999948E0,2.345000000E2,5.452982577E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.089882515E2,6.503779136E1,2.554957398E1,1.933136860E1,3.680950928E1,1.789999962E0,2.341999969E2,5.470164608E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.099922775E2,6.503778154E1,2.554954571E1,1.936616445E1,3.684429932E1,1.659999967E0,2.328000031E2,5.486552345E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.109911006E2,6.503777236E1,2.554951839E1,1.911732963E1,3.659545898E1,1.669999957E0,2.343999939E2,5.502061845E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.119954907E2,6.503776440E1,2.554949125E1,1.872939529E1,3.620751953E1,1.559999943E0,2.371000061E2,5.518831728E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.129903921E2,6.503775614E1,2.554946135E1,1.872964490E1,3.620776367E1,1.830000043E0,2.371000061E2,5.535727139E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.139937529E2,6.503774779E1,2.554943127E1,1.848166458E1,3.595977783E1,1.600000024E0,2.370000000E2,5.552096300E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.149913493E2,6.503773954E1,2.554940238E1,1.825797611E1,3.573608398E1,1.700000048E0,2.346000061E2,5.568202324E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.159898763E2,6.503773111E1,2.554937447E1,1.832396045E1,3.580206299E1,1.600000024E0,2.335000000E2,5.584380730E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.169879603E2,6.503772217E1,2.554934727E1,1.821422467E1,3.569232178E1,1.659999967E0,2.343000031E2,5.600445863E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.179883313E2,6.503771332E1,2.554932021E1,1.813476229E1,3.561285400E1,1.679999948E0,2.343999939E2,5.616699331E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.189919190E2,6.503770459E1,2.554929243E1,1.783880823E1,3.531689453E1,1.690000057E0,2.360000000E2,5.633685225E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.199935414E2,6.503769558E1,2.554926320E1,1.798554240E1,3.546362305E1,1.769999981E0,2.353999939E2,5.650460145E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.209950075E2,6.503768683E1,2.554923408E1,1.791566270E1,3.539373779E1,1.629999995E0,2.360000000E2,5.666912748E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.219894146E2,6.503767849E1,2.554920512E1,1.799879799E1,3.547686768E1,1.629999995E0,2.368000031E2,5.683025564E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.229848584E2,6.503767060E1,2.554917632E1,1.794350540E1,3.542156982E1,1.549999952E0,2.388000031E2,5.699773925E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.239897356E2,6.503766248E1,2.554914626E1,1.786520274E1,3.534326172E1,1.730000019E0,2.381999969E2,5.716840818E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.249962833E2,6.503765389E1,2.554911612E1,1.788553305E1,3.536358643E1,1.610000014E0,2.365000000E2,5.734434244E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.259918880E2,6.503764448E1,2.554908598E1,1.797196470E1,3.545001221E1,1.750000000E0,2.328999939E2,5.751931552E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.269938764E2,6.503763490E1,2.554905640E1,1.790434361E1,3.538238525E1,1.600000024E0,2.328999939E2,5.769201301E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.279970347E2,6.503762566E1,2.554902682E1,1.770854859E1,3.518658447E1,1.620000005E0,2.328999939E2,5.787466656E-1,3.790092468E0,2.500000000E0,2.900000000E1
