"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.011485050E-1,-3.258396387E-1,1.035342216E-1,7.171697617E-1,7.944956087E-1
6.061369950E-1,-3.104296923E-1,4.892826080E-2,6.717853546E-1,7.416576914E-1
6.111254840E-1,-2.549742460E-1,-4.869604111E-2,5.872712135E-1,6.420830544E-1
6.161139220E-1,-1.428018808E-1,-1.390390396E-1,4.615783691E-1,5.027711433E-1
6.210794430E-1,-1.198887825E-2,-2.077517509E-1,3.329300880E-1,3.926155457E-1
6.260679320E-1,1.229573488E-1,-1.813287735E-1,2.701034546E-1,3.477851491E-1
6.310563700E-1,1.429553032E-1,-1.461391449E-1,2.772893906E-1,3.445029383E-1
6.360448590E-1,2.020363212E-1,-1.898865700E-1,2.940316200E-1,4.041412848E-1
6.410333490E-1,3.219547868E-1,-3.376970291E-1,1.865825653E-1,5.025009670E-1
6.460217870E-1,2.071045041E-1,-2.964897156E-1,4.372215271E-2,3.642939112E-1
6.509872550E-1,5.801439285E-2,-1.865277290E-1,-6.758832932E-2,2.067037632E-1
6.559757450E-1,9.797930717E-3,-1.342964172E-1,-3.017249107E-1,3.304080037E-1
6.609641820E-1,3.875875473E-2,-6.272411346E-2,-4.538302422E-1,4.597808654E-1
6.659526720E-1,5.877172947E-2,9.719896317E-2,-5.319747925E-1,5.439659313E-1
6.709411620E-1,4.373133183E-2,1.333785057E-1,-5.820202827E-1,5.987068270E-1
6.759295990E-1,-8.290886879E-3,1.871490479E-1,-6.637315750E-1,6.896615899E-1
6.808950680E-1,-9.496319294E-2,2.296504974E-1,-6.388669014E-1,6.854985607E-1
6.858835570E-1,-1.903882027E-1,2.536067963E-1,-5.675120354E-1,6.501030573E-1
6.908719950E-1,-2.617084980E-1,2.472596169E-1,-4.833569527E-1,6.027127008E-1
6.958604840E-1,-3.569567204E-1,2.273306847E-1,-4.600682259E-1,6.251080809E-1
7.008489740E-1,-4.119088650E-1,1.841115952E-1,-3.162102699E-1,5.509581902E-1
7.058374120E-1,-4.083132744E-1,1.198258400E-1,-9.281539917E-2,4.355372088E-1
7.108028800E-1,-4.488971233E-1,1.303815842E-2,8.611249924E-2,4.572679558E-1
7.157913700E-1,-4.810271263E-1,-7.206916809E-2,2.117633820E-1,5.304948550E-1
7.207798070E-1,-4.590232372E-1,-1.261935234E-1,2.513947487E-1,5.383553263E-1
7.257682970E-1,-3.919545412E-1,-1.922726631E-1,2.460961342E-1,5.011591031E-1
7.307567870E-1,-3.318355083E-1,-2.204136848E-1,2.463665009E-1,4.683945450E-1
7.357452240E-1,-2.379379869E-1,-2.464561462E-1,1.902513504E-1,3.918554503E-1
7.407106930E-1,-1.435389519E-1,-2.940268517E-1,1.184291840E-1,3.479665096E-1
7.456991820E-1,-1.102150679E-1,-3.296303749E-1,6.190729141E-2,3.530383237E-1
7.506876200E-1,-6.851154566E-2,-3.391213417E-1,3.250837326E-2,3.474966340E-1
7.556761090E-1,1.447832584E-2,-3.368091583E-1,2.506875992E-2,3.380509929E-1
7.606645990E-1,5.455940962E-2,-3.583636284E-1,4.636907578E-2,3.654467273E-1
7.656530370E-1,-1.319026947E-2,-2.917861938E-1,3.180265427E-2,2.938104405E-1
7.706185570E-1,1.833438873E-3,-2.017288208E-1,4.558277130E-2,2.068227929E-1
7.756070470E-1,1.011004448E-1,-1.287884712E-1,8.033370972E-2,1.823767397E-1
7.805954840E-1,1.153503060E-1,-4.668617249E-2,6.697273254E-2,1.413175103E-1
7.855839740E-1,1.530117989E-1,-1.513004303E-2,-2.480268478E-2,1.557456322E-1
7.905724640E-1,1.407442689E-1,-7.438182831E-3,-9.463787079E-2,1.697663170E-1
7.955609010E-1,7.438111305E-2,-1.870727539E-2,-1.188383102E-1,1.414392312E-1
8.005263180E-1,3.969544172E-2,-6.552219391E-2,-4.771375656E-2,9.025236038E-2
8.055148070E-1,2.809822559E-3,-1.215429306E-1,3.484582901E-2,1.264705930E-1
8.105032450E-1,1.607352495E-2,-1.318325996E-1,2.627372742E-2,1.353827954E-1
8.154917340E-1,4.605370760E-2,-1.205124855E-1,-4.898309708E-2,1.379983585E-1
8.204802240E-1,1.893162727E-2,-9.941959381E-2,-1.454977989E-1,1.772350745E-1
8.254686620E-1,4.204285145E-2,-7.330799103E-2,-2.299146652E-1,2.449539063E-1
8.304731410E-1,8.429199457E-2,-6.348943710E-2,-3.429193497E-1,3.587892548E-1
8.354616300E-1,1.341167092E-1,-7.802486420E-3,-4.273452759E-1,4.479644576E-1
8.404501200E-1,2.771828771E-1,7.672452927E-2,-4.166369438E-1,5.062641047E-1
8.454385570E-1,3.274654150E-1,7.319641113E-2,-3.207988739E-1,4.642232546E-1
8.504270470E-1,2.904987931E-1,7.727146149E-2,-2.782802582E-1,4.096343853E-1
8.554155370E-1,3.098409176E-1,1.102390289E-1,-2.910075188E-1,4.391348468E-1
8.603809530E-1,2.875445485E-1,1.410517693E-1,-3.063554764E-1,4.432055357E-1
8.653694430E-1,2.187090516E-1,1.196656227E-1,-2.933416367E-1,3.849712019E-1
8.703579320E-1,1.961650252E-1,1.130609512E-1,-3.402714729E-1,4.087152690E-1
8.753463700E-1,2.429154515E-1,9.027051926E-2,-3.183627129E-1,4.105015227E-1
8.803348590E-1,1.270814538E-1,5.136251450E-2,-2.899689674E-1,3.207332316E-1
8.853233490E-1,-1.455456018E-2,3.532409668E-3,-3.193607330E-1,3.197117310E-1
8.902887660E-1,-8.895933628E-2,-4.128456116E-2,-3.180656433E-1,3.328422028E-1
8.952772550E-1,-1.556574106E-1,-3.542661667E-2,-3.243756294E-1,3.615298378E-1
9.002657450E-1,-1.878201962E-1,3.259038925E-2,-3.594479561E-1,4.068677828E-1
9.052541820E-1,-1.257098913E-1,9.320831299E-2,-3.395576477E-1,3.738852264E-1
9.102426720E-1,-7.239437103E-2,1.274385452E-1,-2.412371635E-1,2.822709635E-1
9.152311620E-1,-9.011656046E-2,1.020517349E-1,-1.482939720E-1,2.013123275E-1
9.201965780E-1,-1.288712025E-1,6.501483917E-2,-7.502603531E-2,1.626764338E-1
9.251850680E-1,-1.387504339E-1,5.445528030E-2,2.158308029E-2,1.506083989E-1
9.301735570E-1,-1.128414273E-1,3.677988052E-2,9.148550034E-2,1.498517404E-1
9.351619950E-1,-8.953183889E-2,4.288482666E-2,1.754441261E-1,2.015829852E-1
9.401504840E-1,-1.211873293E-1,4.401016235E-2,1.948266029E-1,2.336250594E-1
9.451389740E-1,-1.170238853E-1,2.826356888E-2,2.047872543E-1,2.375526017E-1
9.501043910E-1,-7.251507044E-2,3.613948822E-2,2.674212456E-1,2.794255189E-1
9.550928800E-1,-7.349866629E-2,6.264448166E-2,2.600989342E-1,2.774488071E-1
9.600813700E-1,-8.670961857E-2,8.398151398E-2,2.150049210E-1,2.465736577E-1
9.650698070E-1,-8.140820265E-2,6.451749802E-2,1.799788475E-1,2.078032448E-1
9.700583490E-1,-8.875221014E-2,7.353067398E-2,1.667456627E-1,2.027013341E-1
9.750467870E-1,-8.504033089E-2,8.231925964E-2,2.106852531E-1,2.416538729E-1
9.800122030E-1,-1.060386300E-1,7.180833817E-2,2.116255760E-1,2.473580662E-1
9.850007450E-1,-6.548076868E-2,5.882644653E-2,1.105651855E-1,1.413256599E-1
9.899891820E-1,3.122568130E-3,6.008291245E-2,8.411121368E-2,1.034137470E-1
9.949776200E-1,7.096767426E-3,3.993225098E-2,5.553293228E-2,6.876667321E-2
9.999661090E-1,3.512704372E-2,7.972240448E-3,2.497577667E-2,4.383212565E-2
1.004954599E0,7.510167360E-2,1.191139221E-2,-2.429199219E-2,7.982633354E-2
1.009920016E0,7.439112663E-2,3.957796097E-2,-1.613616943E-2,8.579528355E-2
1.014908505E0,6.422001123E-2,-8.934974670E-3,1.563453674E-2,6.669694412E-2
1.019896995E0,7.795929909E-2,-9.561061859E-3,1.392459869E-2,7.976816826E-2
1.024885432E0,1.107968092E-1,1.637458801E-3,7.571697235E-3,1.110672985E-1
1.029873922E0,1.224479675E-1,5.583763123E-3,3.747463226E-3,1.226324861E-1
1.034862412E0,1.200772524E-1,1.661825180E-2,-1.662445068E-2,1.223563860E-1
1.039828089E0,1.203525662E-1,4.187631607E-2,-4.398870468E-2,1.348086503E-1
1.044813818E0,1.256511807E-1,6.695842743E-2,-2.124023438E-2,1.439541517E-1
1.049799547E0,8.359307051E-2,7.761144638E-2,-3.194952011E-2,1.184572070E-1
1.054785224E0,1.843416691E-1,1.937770844E-2,5.233764648E-2,1.926047138E-1
1.059770953E0,2.506845593E-1,-4.095315933E-2,2.097568512E-1,3.294204702E-1
1.064756630E0,6.005048752E-2,-5.818843842E-2,1.403956413E-1,1.634101941E-1
1.069735901E0,1.843488216E-2,-5.391788483E-2,8.352994919E-2,1.011149623E-1
1.074721630E0,2.448791265E-2,1.677274704E-2,7.469034195E-2,8.037182398E-2
1.079707359E0,-4.068613052E-4,4.182577133E-2,-4.107332230E-2,5.862233779E-2
1.084693037E0,-2.742403746E-2,9.298181534E-2,-9.193229675E-2,1.336010591E-1
1.089678766E0,-1.373845935E-1,1.439566612E-1,-1.830315590E-1,2.703675247E-1
1.094664443E0,-1.684534550E-1,1.685948372E-1,-1.905326843E-1,3.051286440E-1
1.099643714E0,-1.077552438E-1,1.314635277E-1,-4.394340515E-2,1.755701413E-1
1.104629443E0,-6.496548653E-2,7.583332062E-2,-5.803108215E-3,1.000244121E-1
1.109615172E0,-3.707128763E-2,1.837253571E-2,-1.087236404E-2,4.277895201E-2
1.114600849E0,-1.434546709E-2,-1.958847046E-2,3.869342804E-2,4.568021426E-2
1.119586578E0,1.761358976E-2,-5.249500275E-2,7.359695435E-2,9.210035584E-2
1.124572255E0,3.987270594E-2,-6.387805939E-2,5.373144150E-2,9.250571309E-2
1.129551526E0,7.392257452E-2,-4.669618607E-2,4.358816147E-2,9.769856006E-2
1.134537255E0,7.465982437E-2,-4.381322861E-2,3.582572937E-2,9.368655859E-2
1.139522984E0,6.371480227E-2,-3.620147705E-2,4.478168488E-2,8.588086090E-2
1.144508662E0,1.148980260E-1,-3.098917007E-2,4.177761078E-2,1.261239620E-1
1.149494391E0,1.589393020E-1,-3.056001663E-2,-1.542568207E-3,1.618579496E-1
1.154480068E0,1.386373043E-1,-1.109981537E-2,-8.880615234E-3,1.393641754E-1
1.159459339E0,1.090939641E-1,-2.021646500E-2,3.363609314E-2,1.159378507E-1
1.164445068E0,-6.602370739E-2,-1.432929039E-1,2.104949951E-2,1.591699333E-1
1.169430797E0,-6.014877558E-2,-1.609926224E-1,4.901409149E-2,1.787145233E-1
1.174416474E0,1.425730586E-1,-5.509042740E-2,9.579753876E-2,1.803862541E-1
1.179402203E0,1.821979880E-1,-1.190423965E-2,9.240198135E-2,2.046361257E-1
1.184387880E0,1.147708297E-1,2.377510071E-2,8.433103561E-2,1.443929442E-1
1.189367151E0,8.153790236E-2,1.640462875E-2,9.774827957E-2,1.283443319E-1
1.194352880E0,7.725906372E-2,1.619625092E-2,9.922933578E-2,1.267980384E-1
1.199338609E0,6.102961302E-2,-5.463600159E-3,1.078944206E-1,1.240792916E-1
1.204324287E0,3.288233280E-2,-3.411006927E-2,1.141343117E-1,1.235774483E-1
1.209310016E0,3.568542004E-2,-6.970882416E-2,7.761383057E-2,1.102573175E-1
1.214295693E0,2.630746365E-2,-7.413864136E-2,4.137372971E-2,8.888422973E-2
1.219274964E0,-2.839612961E-2,-8.087539673E-2,4.337358475E-2,9.606475850E-2
1.224260693E0,-4.386782646E-3,-8.979511261E-2,9.552478790E-3,9.040827375E-2
1.229246422E0,1.455003023E-2,-6.760978699E-2,-5.980348587E-2,9.142889914E-2
1.234232099E0,-1.889848709E-2,-4.316329956E-2,-5.976533890E-2,7.610597202E-2
1.239217828E0,-2.114778757E-2,-3.313302994E-2,-2.888584137E-2,4.877928273E-2
1.244203505E0,3.350609541E-2,-4.075050354E-3,-7.758140564E-4,3.376190682E-2
1.249182776E0,8.538478613E-2,3.683948517E-2,-3.253126144E-2,9.851899482E-2
1.254168505E0,1.013274789E-1,5.854368210E-2,-4.277658463E-2,1.245971785E-1
1.259154234E0,1.078591347E-1,4.693508148E-2,-2.691793442E-2,1.206692587E-1
1.264139912E0,1.051881909E-1,6.398344040E-2,-3.021192551E-2,1.267722233E-1
1.269125641E0,4.075908661E-2,2.864837646E-2,-1.449728012E-2,5.188645051E-2
1.274111318E0,-1.092106700E-1,-8.958816528E-2,3.908395767E-2,1.465624971E-1
1.279051630E0,-6.092429161E-2,-7.396697998E-2,6.624794006E-2,1.164975236E-1
1.284037359E0,4.643756151E-2,-4.899120331E-2,4.333019257E-2,8.021278395E-2
1.289023089E0,4.356557131E-2,2.322483063E-2,2.541923523E-2,5.552917504E-2
1.294008766E0,1.935970783E-2,4.497718811E-2,2.882480621E-3,4.905154872E-2
1.298994495E0,6.455332041E-2,2.603721619E-2,4.247999191E-2,8.154518695E-2
1.303980224E0,5.253511667E-2,4.279947281E-2,6.761693954E-2,9.572765468E-2
1.308998401E0,4.535216093E-2,4.754638672E-2,1.044197083E-1,1.233732259E-1
1.313984130E0,2.182906866E-2,4.741430283E-2,7.927989960E-2,9.492063438E-2
1.318969859E0,1.257544756E-2,1.394939423E-2,6.866788864E-2,7.118993195E-2
1.323955537E0,1.511454582E-2,2.122116089E-2,7.467031479E-2,7.908503699E-2
1.328941266E0,2.677547932E-2,3.316211700E-2,8.773231506E-2,9.753774348E-2
1.333926943E0,-2.008676529E-4,2.356433868E-2,1.173176765E-1,1.196610030E-1
1.338906214E0,-2.517962456E-2,4.577636719E-3,1.132903099E-1,1.161450066E-1
1.343891943E0,-3.593945503E-2,-1.187419891E-2,6.888484955E-2,7.859875015E-2
1.348877672E0,-6.572186947E-2,-2.822589874E-2,6.526470184E-2,9.682740724E-2
1.353863349E0,-4.780256748E-2,-3.017568588E-2,7.590913773E-2,9.464594374E-2
1.358849078E0,-1.586574316E-2,-3.918504715E-2,4.364109039E-2,6.075964530E-2
1.363834755E0,6.417989731E-3,-3.388309479E-2,-1.920557022E-2,3.947288477E-2
1.368814026E0,1.906216145E-2,-3.333091736E-2,-3.168582916E-2,4.978260560E-2
1.373799755E0,1.744878292E-2,-3.745746613E-2,-1.325130463E-2,4.339491754E-2
1.378785484E0,4.447036982E-2,-2.487087250E-2,-4.727315903E-2,6.950486066E-2
1.383771162E0,5.711561441E-2,-3.603887558E-2,-5.736112595E-2,8.860752075E-2
1.388756891E0,6.514531374E-2,-1.388072968E-2,-1.979637146E-2,6.948728575E-2
1.393742568E0,4.247140884E-2,-2.043581009E-2,-2.049922943E-2,5.139709438E-2
1.398721839E0,7.500696182E-2,-3.411865234E-2,-2.346277237E-2,8.567746756E-2
1.403707568E0,7.418394089E-2,-3.342628479E-2,-1.688861847E-2,8.310113738E-2
1.408693297E0,6.408149004E-2,-1.840448380E-2,-2.231454849E-2,7.030719354E-2
1.413678974E0,7.803022861E-2,1.079034805E-2,-2.771949768E-2,8.350759690E-2
1.418664703E0,1.135590076E-1,3.731298447E-2,-4.477977753E-3,1.196158824E-1
1.423650380E0,1.348336935E-1,1.847076416E-2,6.734848022E-3,1.362595032E-1
1.428629651E0,1.014522314E-1,4.256677628E-2,1.072216034E-2,1.105416230E-1
1.433615380E0,7.317477465E-2,4.037427902E-2,-4.368305206E-3,8.368818400E-2
1.438601109E0,6.665253639E-2,3.342151642E-2,-1.691055298E-2,7.645603422E-2
1.443586787E0,4.616791010E-2,2.887010574E-2,-1.978349686E-2,5.793397687E-2
1.448572516E0,5.473160744E-2,7.830142975E-3,-5.596494675E-2,7.866978617E-2
1.453558193E0,5.176365376E-2,8.458614349E-3,-7.054615021E-2,8.790781146E-2
1.458537464E0,8.482867479E-2,4.240989685E-2,-7.316589355E-2,1.197820997E-1
1.463523193E0,6.804007292E-2,4.523515701E-2,-4.251718521E-2,9.210527667E-2
1.468508922E0,5.149775743E-2,6.008577347E-2,-2.180719376E-2,8.208454723E-2
1.473494599E0,6.133520603E-2,6.779432297E-2,-6.130218506E-3,9.162781949E-2
1.478480328E0,4.036194086E-2,3.035211563E-2,4.627227783E-3,5.071240904E-2
1.483466005E0,6.001728773E-2,-6.777763367E-3,-1.324653625E-3,6.041330656E-2
1.488445276E0,9.613060951E-2,-3.222942352E-3,3.079128265E-2,1.009929925E-1
1.493431005E0,-3.216630220E-2,-1.139202118E-1,8.659410477E-2,1.466663719E-1
1.498416734E0,-2.662068605E-2,-1.145772934E-1,1.064476967E-1,1.586434027E-1
1.503402412E0,8.316606283E-2,-5.360412598E-2,1.072621346E-1,1.459286190E-1
1.508388141E0,1.516176462E-1,3.776884079E-2,4.627275467E-2,1.629587795E-1
1.513373818E0,1.339042783E-1,8.571195602E-2,1.893901825E-2,1.601111538E-1
1.518353089E0,1.282668710E-1,9.285259247E-2,1.323986053E-2,1.589002455E-1
1.523338818E0,6.544619799E-2,2.621221542E-2,5.279016495E-2,8.807432420E-2
1.528324547E0,7.506191730E-3,-3.052711487E-2,1.586570740E-1,1.617415060E-1
1.533310224E0,8.267265558E-2,-1.576614380E-2,2.044768333E-1,2.211201362E-1
1.538295953E0,1.306192875E-1,-3.663539886E-3,1.716508865E-1,2.157286412E-1
1.543281630E0,1.209723353E-1,1.782751083E-2,1.509723663E-1,1.942801623E-1
