"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.902089660E-1,-4.388007224E-1,1.829664707E-1,2.241504669E0,2.291367711E0
4.951938090E-1,-5.505859852E-1,1.779747009E-1,2.557147980E0,2.621798183E0
5.001786530E-1,-6.197633743E-1,1.084966660E-1,2.775268555E0,2.845697404E0
5.051634970E-1,-6.628642678E-1,1.315379143E-1,2.934906006E0,3.011704588E0
5.101482890E-1,-5.216591954E-1,1.056578159E-1,2.961040497E0,3.008496753E0
5.151331840E-1,-3.041377366E-1,1.084141731E-1,2.869546890E0,2.887655234E0
5.201179760E-1,-1.718956530E-1,3.955173492E-2,2.856052399E0,2.861493973E0
5.251028200E-1,-1.122340262E-1,-6.503129005E-2,2.810774803E0,2.813766255E0
5.300876640E-1,-8.615136147E-2,-2.193508148E-1,2.556256294E0,2.567096235E0
5.350725070E-1,-1.418461204E-1,-2.900657654E-1,2.087374687E0,2.112200643E0
5.400573510E-1,-1.847128868E-1,-3.011431694E-1,1.733254433E0,1.768891457E0
5.450421950E-1,-2.151027620E-1,-3.681240082E-1,1.471070290E0,1.531611008E0
5.500269340E-1,-3.421352208E-1,-3.824737072E-1,1.192891121E0,1.298588415E0
5.550117260E-1,-4.294189811E-1,-4.287607670E-1,9.365186691E-1,1.115931752E0
5.599964660E-1,-6.027235389E-1,-3.608741760E-1,5.827922821E-1,9.127719755E-1
5.649812570E-1,-8.969327211E-1,-5.879831314E-2,1.632890701E-1,9.135693013E-1
5.699660490E-1,-1.014099121E0,1.535508633E-1,2.240638733E-1,1.049847377E0
5.749507890E-1,-1.012110472E0,1.981654167E-1,4.827461243E-1,1.138719000E0
5.799359970E-1,-1.018761277E0,3.767702579E-1,6.194133759E-1,1.250401255E0
5.849207890E-1,-9.832051992E-1,7.153193951E-1,5.992736816E-1,1.355545369E0
5.899055280E-1,-1.085992694E0,1.011402845E0,2.576761246E-1,1.506224695E0
5.948903200E-1,-9.791699648E-1,1.139660120E0,3.194465637E-1,1.536113640E0
5.998751120E-1,-8.814604282E-1,1.231627941E0,7.170066833E-1,1.675702377E0
6.048598510E-1,-9.279563427E-1,1.392049789E0,7.065668106E-1,1.816078811E0
6.098450590E-1,-1.053112030E0,1.597825766E0,1.207103729E-1,1.917462677E0
6.148298510E-1,-1.145610571E0,1.407600641E0,7.599658966E-1,1.967564817E0
6.198145910E-1,-1.268208027E0,1.154011250E0,1.222708702E0,2.105970117E0
6.247993820E-1,-1.231928945E0,8.536603451E-1,1.377810478E0,2.035865080E0
6.297841740E-1,-1.200186372E0,4.970283508E-1,1.437066078E0,1.937174081E0
6.347689140E-1,-1.160965919E0,9.810042381E-2,1.446572304E0,1.857427519E0
6.397540700E-1,-1.143983364E0,-3.269598484E-1,1.278559685E0,1.746515258E0
6.447388620E-1,-1.135531664E0,-7.857847214E-1,1.138769150E0,1.789884065E0
6.497236010E-1,-1.081987023E0,-1.178953648E0,9.960832596E-1,1.884889780E0
6.547083930E-1,-1.091961503E0,-1.531603456E0,8.339719772E-1,2.057595278E0
6.596931840E-1,-1.076506138E0,-1.808804989E0,6.407613754E-1,2.200276367E0
6.646779240E-1,-1.057939172E0,-1.999503255E0,4.548339844E-1,2.307406013E0
6.696630800E-1,-1.006668687E0,-2.192616701E0,2.145338058E-1,2.422183849E0
6.746478720E-1,-9.759865999E-1,-2.316978693E0,-3.444576263E-2,2.514383944E0
6.796326120E-1,-9.241822362E-1,-2.392353058E0,-2.942695618E-1,2.581484173E0
6.846174030E-1,-8.215057850E-1,-2.438332081E0,-5.599765778E-1,2.633231638E0
6.896021950E-1,-7.647690177E-1,-2.397913933E0,-8.290967941E-1,2.649955542E0
6.945869340E-1,-7.267434597E-1,-2.331106901E0,-1.061146736E0,2.662376351E0
6.995720910E-1,-7.565017939E-1,-2.244777918E0,-1.296864510E0,2.700588903E0
7.045568820E-1,-8.630929589E-1,-2.145454407E0,-1.460287094E0,2.735021474E0
7.095416220E-1,-9.265472293E-1,-2.063175917E0,-1.625885010E0,2.785441921E0
7.145264140E-1,-9.680098891E-1,-1.892145991E0,-1.784422874E0,2.775144067E0
7.195112050E-1,-1.098211050E0,-1.700916290E0,-1.941031456E0,2.804779287E0
7.244959450E-1,-1.216372490E0,-1.515006304E0,-2.136396885E0,2.887732291E0
7.294811530E-1,-1.257503390E0,-1.326013923E0,-2.325387001E0,2.957541615E0
7.344659450E-1,-1.332918644E0,-1.185364723E0,-2.448856831E0,3.029630574E0
7.394506840E-1,-1.413207054E0,-1.150917292E0,-2.519504070E0,3.109608585E0
7.444354760E-1,-1.379028559E0,-1.182788372E0,-2.526126385E0,3.111594866E0
7.494202680E-1,-1.211902142E0,-1.300805688E0,-2.498049259E0,3.066113556E0
7.544050070E-1,-1.066983461E0,-1.448709607E0,-2.459592342E0,3.047426410E0
7.593901640E-1,-9.197025299E-1,-1.516505957E0,-2.375289440E0,2.964395889E0
7.643749550E-1,-1.012946367E0,-1.150498629E0,-2.361950874E0,2.815762662E0
7.693596950E-1,-8.878597021E-1,-1.249898791E0,-2.212285519E0,2.691607151E0
7.743444870E-1,-7.576901317E-1,-1.411236763E0,-1.979742527E0,2.546578884E0
7.793292780E-1,-6.457082033E-1,-1.553322673E0,-1.738595486E0,2.419186779E0
7.843140180E-1,-4.989393950E-1,-1.659332514E0,-1.412812233E0,2.235701974E0
7.892991740E-1,-3.903566003E-1,-1.677528143E0,-1.100350380E0,2.043832161E0
7.942839660E-1,-3.287495971E-1,-1.708977222E0,-7.485704422E-1,1.894475429E0
7.992687050E-1,-3.323550820E-1,-1.616181612E0,-4.503049850E-1,1.710344259E0
8.042534970E-1,-4.379812479E-1,-1.417477369E0,-1.120910645E-1,1.487828644E0
8.092382890E-1,-6.373602748E-1,-1.128543258E0,1.899108887E-1,1.309925246E0
8.142230280E-1,-8.751606941E-1,-8.792229891E-1,4.585657120E-1,1.322581497E0
8.192082370E-1,-1.121201992E0,-6.983708143E-1,6.990041733E-1,1.494463963E0
8.241930280E-1,-1.342788100E0,-5.953652859E-1,8.448677063E-1,1.694503215E0
8.291777680E-1,-1.523748755E0,-5.466076136E-1,9.540700912E-1,1.879052924E0
8.341625590E-1,-1.602646828E0,-4.691655636E-1,1.053206444E0,1.974294049E0
8.391473510E-1,-1.635189533E0,-4.278967381E-1,1.144810677E0,2.041453383E0
